,city,lat,lon,state
0,Bengaluru              ,12.9767463,77.5752782,Karnataka
1,Gurugram               ,28.4665886,77.0333116,Haryana
2,New Delhi              ,28.6324252,77.218791,Delhi
3,Mumbai                 ,18.9690472,72.8211807,Maharashtra
4,Chennai                ,13.0720922,80.2018554,Tamil Nadu
5,Pune                   ,18.51957,73.85535,Maharashtra
6,Noida                  ,28.5846687,77.3520063,Uttar Pradesh
7,Faridabad              ,28.4148834,77.30969,Haryana
8,Amritsar               ,31.62234,74.87534,Punjab
9,Delhi                  ,28.6324252,77.218791,Delhi
10,Kormangala             ,13.291864,77.751814,Karnataka
11,Taramani               ,12.98568,80.23558,Tamil Nadu
12,Andheri                ,19.1121216,72.8676758,Maharashtra
13,Chembur                ,19.0487802,72.90587,Maharashtra
14,Haryana                ,29.198193685947,76.340238451027,Unknown
15,Karnataka              ,14.710486244865,76.167642312362,Unknown
16,Mumbai/Bengaluru       ,19.162627,72.845772,Unknown
17,Bhopal                 ,23.25469,77.40289,Madhya Pradesh
18,Bengaluru and Gurugram ,12.9476009,77.6287401,Unknown
19,India/Singapore        ,22.927235,74.064717,Unknown
20,Jaipur                 ,26.9210387,75.7943593,Rajasthan
21,Nagpur                 ,21.14631,79.08491,Maharashtra
22,Indore                 ,22.7186729,75.8557106,Madhya Pradesh
23,"New York, Bengaluru  ",12.9065992,77.6424604,Unknown
24,India                  ,23.379379735,79.443326548,Unknown
25,Rourkela               ,22.22496,84.86414,Odisha
26,Srinagar               ,34.0717455,74.8043213,Jammu and Kashmir
27,Bhubaneswar            ,20.2726082,85.8331178,Odisha
28,Chandigarh             ,30.7333502,76.7790361,Chandigarh
29,Kolkata                ,22.5655734,88.3702152,West Bengal
30,Coimbatore             ,11.0160093,76.9703096,Tamil Nadu
31,Udaipur                ,24.5761142,73.7005006,Rajasthan
32,Ahmedabad              ,23.0145096,72.5917595,Gujarat
33,Surat                  ,21.2035093,72.8392268,Gujarat
34,Uttar Pradesh          ,26.923284879151,80.566172731662,Unknown
35,Gaya                   ,24.7924837,85.0077092,Bihar
36,Vadodara               ,22.3111948,73.1819832,Gujarat
37,Trivandrum             ,8.5303733,76.9295569,Kerala
38,Mussoorie              ,30.4585,78.0653,Uttarakhand
39,Panaji                 ,15.4833398,73.8223346,Goa
40,Gwalior                ,26.2145606,78.1827078,Madhya Pradesh
41,Karur                  ,10.9595769,78.0819485,Tamil Nadu
42,Udupi                  ,13.343725,74.7466438,Karnataka
43,Kochi                  ,9.9576168,76.2511512,Kerala
44,Agra                   ,27.1677246,78.0358887,Uttar Pradesh
45,Hubli                  ,15.34776,75.13378,Karnataka
46,Kerala                 ,10.450097154692,76.408118405571,Unknown
47,Kozhikode              ,11.2341272,75.795501,Kerala
48,Siliguri               ,26.7096309,88.4286167,West Bengal
49,Lucknow                ,26.8462595,80.9490001,Uttar Pradesh
50,Kanpur                 ,26.46523,80.34975,Uttar Pradesh
51,Varanasi               ,25.3096924,83.0056763,Uttar Pradesh
52,Jodhpur                ,26.283341,73.021858,Rajasthan
53,Mumbai / NY            ,18.9690472,72.8211807,Unknown
54,Goa/Hyderabad          ,15.540127,73.764363,Unknown
55,Belgaum                ,15.8527648,74.5111188,Karnataka
56,New York/ India        ,28.703257,77.126664,Unknown
57,Gurgaon / SFO          ,28.4665886,77.0333116,Unknown
58,New Delhi/ Houston     ,28.5377359,77.2863372,Unknown
59,Mumbai / Global        ,19.154239,72.843707,Unknown
